Problem,|V|,|E|,Randomized,Greedy,SemiGreedy,LocalSearch_Iter,LocalSearch_Avg,GRASP_Iter,GRASP_Best,KnownBest
G1,800,19176,9586,11014,11133,7,11367,50,11466,12078
G2,800,19176,9592,11053,11087,7,11366,50,11434,12084
G3,800,19176,9577,11021,11088,7,11353,50,11432,12077
G4,800,19176,9570,11097,11146,7,11382,50,11465,N/A
G5,800,19176,9597,10969,11146,7,11364,50,11431,N/A
G6,800,19176,84,1550,1638,7,1897,50,1967,N/A
G7,800,19176,-90,1402,1454,8,1739,50,1830,N/A
G8,800,19176,-85,1360,1433,8,1737,50,1836,N/A
G9,800,19176,-43,1422,1441,8,1778,50,1849,N/A
G10,800,19176,-88,1336,1411,7,1727,50,1822,N/A
G11,800,1600,15,418,422,2,443,50,464,627
G12,800,1600,4,430,402,2,435,50,458,621
G13,800,1600,20,440,428,2,460,50,484,645
G14,800,4694,2349,2862,2947,2,2957,50,2986,3187
G15,800,4661,2331,2852,2903,2,2938,50,2963,3169
G16,800,4672,2343,2869,2909,2,2945,50,2963,3172
G17,800,4667,2334,2867,2930,2,2937,50,2968,N/A
G18,800,4694,25,763,733,3,832,50,889,N/A
G19,800,4661,-60,681,609,4,750,50,806,N/A
G20,800,4672,-10,749,680,3,774,50,812,N/A
G21,800,4667,-30,720,673,3,772,50,838,N/A
G22,2000,19990,10015,12292,12577,6,12893,10,12979,14123
G23,2000,19990,9999,12281,12631,5,12873,10,12933,14129
G24,2000,19990,9949,12336,12588,5,12876,10,12941,14131
G25,2000,19990,9968,12311,12568,6,12892,10,12954,N/A
G26,2000,19990,9972,12299,12688,6,12868,10,12954,N/A
G27,2000,19990,-46,2318,2376,6,2800,10,2909,N/A
G28,2000,19990,-50,2269,2379,6,2771,10,2857,N/A
G29,2000,19990,44,2366,2463,6,2861,10,2918,N/A
G30,2000,19990,75,2390,2524,6,2889,10,2978,N/A
G31,2000,19990,-36,2299,2311,7,2795,10,2860,N/A
G32,2000,4000,6,1060,992,3,1100,10,1122,1560
G33,2000,4000,-26,1006,1006,3,1079,10,1108,1537
G34,2000,4000,-27,1016,968,2,1071,10,1094,1541
G35,2000,11778,5882,7251,7349,3,7411,10,7441,8000
G36,2000,11766,5857,7231,7345,3,7418,10,7457,7996
G37,2000,11785,5896,7244,7362,3,7419,10,7454,8009
G38,2000,11779,5883,7244,7354,2,7420,10,7443,N/A
G39,2000,11778,11,1871,1653,4,1997,10,2044,N/A
G40,2000,11766,-36,1830,1608,4,1998,10,2079,N/A
G41,2000,11785,-32,1866,1741,4,1992,10,2055,N/A
G42,2000,11779,72,1816,1742,4,2055,10,2109,N/A
G43,1000,9990,5004,6156,6307,5,6426,50,6482,7027
G44,1000,9990,4985,6169,6227,5,6425,50,6478,7022
G45,1000,9990,5004,6222,6331,5,6424,50,6476,7020
G46,1000,9990,5002,6170,6298,5,6426,50,6494,N/A
G47,1000,9990,4985,6152,6325,5,6432,50,6502,N/A
G48,3000,6000,3004,6000,5688,2,5702,10,5856,6000
G49,3000,6000,3022,6000,5704,1,5615,10,5674,6000
G50,3000,6000,3003,5880,5620,1,5652,10,5772,5988
G51,1000,5909,2963,3600,3660,2,3717,50,3740,N/A
G52,1000,5916,2964,3618,3691,2,3721,50,3741,N/A
G53,1000,5914,2953,3603,3674,2,3718,50,3742,N/A
G54,1000,5916,2961,3605,3690,2,3715,50,3737,N/A
